V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	73.375	72.375	72.375	72.375	52.125	53.250	59.875	59.875	46.250	46.250	37.500	33.000
lon	-9.000	 9.000	 9.250	27.375	-9.000	-6.750	10.000	27.375	-9.000	-8.875	20.000	33.750
N	 0.486	 1.065	 1.031	 0.394	 2.096	 2.282	 0.950	 0.394	 2.096	 2.108	 2.143	 1.691
S	 3.868	 2.861	 2.895	 2.316	 2.745	 2.629	 2.305	 2.177	 2.745	 2.745	 0.938	-0.521
W	 4.291	 3.787	 3.787	 3.787	 3.414	 3.058	 0.877	 0.877	 1.491	 1.491	 1.168	 1.022
E	-4.048	-3.748	-3.748	-3.748	 2.056	 2.245	 1.408	 1.408	 1.608	 1.608	 0.102	 0.387
NW	 0.557	 1.020	 0.944	-0.234	 3.124	 2.671	 0.557	 0.022	 1.757	 1.796	 1.285	 1.834
NE	 0.334	 0.824	 1.515	 1.002	 1.849	 1.818	 0.924	 0.799	 1.608	 1.586	 2.446	 2.671
SE	 3.100	 3.675	 3.724	 2.856	 3.566	 3.542	 2.467	 2.165	 2.653	 2.634	 0.821	-0.834
SW	 4.076	 2.901	 2.888	 1.972	 2.939	 2.706	 1.905	 1.510	 2.264	 2.283	 1.021	 0.044
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23
lat	 73.375	 73.500	 73.500	 73.500	 73.500	 73.375	 57.750	 59.875	 59.875	 59.875	 59.875	 59.875	 59.875	 59.875	 59.875	 59.875	 59.875	 59.875	 59.875	 46.250	 46.250	 37.500	 33.000
lon	 -9.000	  7.125	  7.250	  9.250	  9.375	 27.375	-27.000	  9.125	 16.875	 17.000	 17.125	 17.250	 17.375	 17.500	 17.625	 17.750	 17.875	 18.000	 27.375	 -9.000	 -6.000	 18.750	 33.750
N	  0.093	 -0.788	 -0.764	 -0.197	 -0.185	  0.359	  3.196	 -0.208	  0.973	  0.984	  0.961	  0.961	  0.973	  0.950	  0.950	  0.938	  0.938	  0.950	  0.359	  1.135	  1.610	  2.073	  1.888
S	  3.162	  3.185	  3.196	  3.196	  3.185	  2.837	  3.752	  2.559	  2.629	  2.629	  2.629	  2.629	  2.629	  2.629	  2.641	  2.641	  2.652	  2.664	  2.837	  2.432	  2.652	  0.637	 -0.197
W	  4.210	  4.241	  4.241	  4.241	  4.241	  4.210	 -4.970	  1.592	  1.592	  1.592	  1.592	  1.592	  1.592	  1.592	  1.592	  1.592	  1.592	  1.592	  1.592	  1.775	  1.775	  1.022	  1.022
E	 -3.562	 -3.588	 -3.588	 -3.588	 -3.588	 -3.562	  4.970	  3.208	  3.208	  3.208	  3.208	  3.208	  3.208	  3.208	  3.208	  3.208	  3.208	  3.208	  3.208	  1.893	  1.893	  0.146	  0.470
NW	  0.434	   -Inf	   -Inf	   -Inf	   -Inf	 -0.290	   -Inf	  0.401	 -0.201	 -0.242	 -0.253	 -0.274	 -0.274	 -0.285	 -0.295	 -0.296	 -0.296	 -0.306	  0.067	  1.442	  1.892	  1.138	  1.570
NE	 -0.290	   -Inf	   -Inf	   -Inf	   -Inf	  0.980	  2.322	  1.136	  1.014	  1.014	  1.014	  1.014	  1.002	  1.002	  0.991	  1.002	  1.002	  0.991	  0.921	  1.626	  1.214	  2.667	  2.373
SE	  2.722	  3.268	  3.258	  3.335	  3.337	  2.368	  4.039	  2.795	  3.167	  3.177	  3.187	  3.218	  3.218	  3.238	  3.251	  3.251	  3.261	  3.271	  3.085	  2.814	  2.586	  0.856	 -0.675
SW	  3.162	  3.407	  3.404	  3.391	  3.380	  2.116	   -Inf	  2.216	  1.921	  1.921	  1.925	  1.929	  1.929	  1.926	  1.926	  1.923	  1.913	  1.920	  1.954	  1.801	  2.226	  0.861	  0.355
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
lat	 60.000	 73.500	 73.500	 73.500	 73.500	 73.375	 59.875	 59.875	 59.875	 59.875	 46.250	 46.250	 37.625	 33.000
lon	-27.000	  9.000	  9.125	  9.875	 10.000	 27.375	-27.000	 -8.875	 24.000	 27.375	 -9.000	 -3.000	 18.750	 33.750
N	  3.903	 -0.869	 -0.845	 -0.799	 -0.788	  0.081	  3.903	 -1.077	 -0.139	  0.081	  0.440	  1.054	  0.973	  1.089
S	  5.119	  3.254	  3.243	  3.231	  3.220	  3.220	  5.119	  1.888	  2.884	  3.220	  1.031	  1.679	  0.788	 -0.486
W	 -2.432	  3.752	  3.752	  3.752	  3.752	  3.724	 -2.423	 -1.431	  1.615	  1.615	  1.524	  1.524	  1.199	  0.898
E	  5.119	 -2.202	 -2.202	 -2.202	 -2.202	 -2.267	  5.100	  5.100	  5.100	  5.100	  1.373	  1.373	  0.190	 -0.124
NW	   -Inf	   -Inf	   -Inf	   -Inf	   -Inf	 -0.501	   -Inf	  0.913	 -0.508	 -0.321	  2.365	  3.319	  1.128	  1.078
NE	  4.757	   -Inf	   -Inf	   -Inf	   -Inf	  0.646	  4.716	 -0.902	  1.437	  1.481	  0.728	  0.375	  1.762	  1.703
SE	  5.111	  3.313	  3.291	  3.315	  3.318	  2.623	  5.142	  2.357	  3.342	  3.512	  0.936	  1.563	  0.644	 -0.710
SW	   -Inf	  3.352	  3.352	  3.276	  3.263	  2.379	   -Inf	  1.818	  2.380	  2.458	  1.325	  1.703	  0.642	 -0.036
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 62.12	 73.50	 73.50	 73.50	 73.38	 59.88	 59.88	 59.88	 59.88	 39.75	 37.62	 35.38	 33.00
lon	-27.00	  6.62	  6.75	  9.25	 27.38	-27.00	 -8.88	 27.25	 34.00	 -9.00	 -1.25	 15.00	 35.00
N	  4.42	 -1.11	 -1.11	 -0.74	  0.13	  4.42	  0.16	  0.12	  0.89	  0.56	  1.10	  1.02	  1.83
S	  5.13	  3.59	  3.60	  3.28	  2.76	  5.13	  3.29	  1.97	  3.57	  0.41	  1.05	  0.49	 -0.61
W	 -1.46	  4.24	  4.24	  4.24	  4.13	 -2.12	 -0.78	  1.66	  1.78	  1.14	  1.02	  0.97	  1.24
E	  3.22	 -1.06	 -1.06	 -1.06	 -1.17	  2.12	  2.12	  2.12	  2.12	  0.44	  0.66	  0.28	  0.25
NW	  -Inf	  -Inf	  -Inf	  -Inf	 -0.21	  -Inf	  1.37	 -0.63	  0.61	  0.99	  2.69	  1.46	  1.12
NE	  3.96	  -Inf	  -Inf	  -Inf	  0.45	  3.71	  1.01	  1.79	  0.80	  0.57	  1.55	  1.40	  2.16
SE	  5.25	  3.08	  3.10	  3.49	  3.96	  5.53	  4.09	  2.94	  3.61	  0.66	  1.09	  0.45	 -0.49
SW	  -Inf	  2.91	  2.91	  2.82	  3.01	  -Inf	  2.57	  2.25	  3.25	  0.81	  1.32	  0.74	 -0.43
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 62.250	 73.500	 73.500	 65.625	 59.875	 59.875	 59.875	 59.875	 38.625	 37.500	 35.250	 33.000
lon	-27.000	  6.625	  9.250	 40.750	-27.000	 -8.875	 10.000	 44.000	 -9.000	 -1.250	 15.000	 33.750
N	  5.154	 -0.706	 -0.440	  1.540	  5.154	  2.722	 -0.394	  1.459	  2.768	  1.563	  0.799	  1.957
S	  6.184	  2.942	  3.034	  4.355	  6.184	  3.162	  2.282	  3.590	  0.660	  1.216	  0.776	 -0.417
W	 -1.219	  4.771	  4.771	  3.536	 -3.023	 -0.831	  0.623	  1.823	  1.216	  1.139	  0.908	  1.505
E	  2.711	 -0.693	 -0.693	  1.347	  3.023	  3.023	  3.023	  3.023	  0.445	  0.672	  0.440	  0.180
NW	   -Inf	   -Inf	   -Inf	  1.499	   -Inf	  2.905	 -0.031	  1.886	  1.202	  2.196	  2.913	  0.982
NE	  4.605	   -Inf	   -Inf	  1.791	  4.661	  2.421	  0.122	 -3.231	  1.141	  1.203	  1.561	  2.447
SE	  4.811	  2.969	  3.005	  3.938	  5.495	  3.340	  1.691	  3.301	  0.930	  1.244	  0.506	 -0.799
SW	   -Inf	  2.939	  2.887	  4.803	   -Inf	  2.648	  1.481	  3.231	  0.902	  1.453	  0.870	  0.151
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.000	 73.500	 73.375	 65.625	 59.875	 59.875	 59.875	 59.875	 36.375	 36.500	 36.500	 33.000
lon	-26.000	  6.625	  9.250	 45.000	-26.250	 -8.875	  9.250	 45.000	 -9.000	 -6.250	 18.750	 33.750
N	  4.748	 -0.012	  0.185	  1.679	  4.737	  3.498	  0.185	  1.679	  3.509	  3.393	  0.741	  1.471
S	  7.586	  2.988	  2.687	  4.378	  7.736	  2.872	  2.536	  2.803	  1.065	  1.506	  0.452	 -0.127
W	  0.069	  4.486	  4.453	  3.283	  0.162	  0.162	  0.162	  1.569	  1.323	  1.340	  1.340	  0.856
E	  3.034	 -0.082	 -0.283	  1.038	  3.046	  3.046	  3.046	  3.046	  0.690	  0.706	  0.706	  0.414
NW	  0.725	   -Inf	  0.000	  1.821	  0.674	  3.014	  0.498	  0.884	  1.316	  1.492	  3.470	  1.310
NE	  4.316	   -Inf	  0.345	  0.107	  4.369	  3.063	  0.234	 -2.744	  1.865	  2.059	  1.500	  1.625
SE	  6.343	  2.664	  2.757	 -1.724	  6.547	  3.065	  2.591	  1.574	  1.510	  1.036	  0.803	 -0.533
SW	  2.360	  2.819	  2.491	  4.870	  2.331	  3.287	  1.732	  2.744	  1.058	  1.329	  0.666	  0.337
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 60.000	 65.625	 72.375	 73.500	 58.875	 59.875	 59.875	 59.875	 35.375	 35.250	 36.500	 36.375	 33.000
lon	-20.000	 -2.375	  9.250	 27.375	-20.625	 -8.875	  9.250	 45.000	 -9.000	 -7.500	 20.000	 20.000	 35.000
N	  3.938	  3.150	  1.031	 -0.510	  3.903	  2.953	  1.031	  1.077	  2.942	  2.965	  0.463	  0.463	  1.737
S	  7.528	  2.837	  3.104	  2.270	  7.655	  3.567	  2.455	  2.247	  0.903	  1.320	  0.544	  0.544	 -0.510
W	  3.683	  2.469	  3.787	  3.629	  5.198	  3.854	  3.854	  3.854	  1.321	  1.305	  1.426	  1.424	  1.022
E	  2.270	 -0.168	 -3.672	 -0.204	  2.890	  2.354	  2.354	  2.354	  0.824	  0.808	  0.735	  0.748	  0.331
NW	  4.348	  3.341	  1.014	   -Inf	  4.237	  3.933	  2.512	 -0.614	  1.526	  1.617	  3.469	  3.488	  2.718
NE	  2.867	  2.662	  1.069	   -Inf	  2.850	  2.696	  0.056	 -1.916	  1.268	  1.208	  0.684	  0.676	  1.691
SE	  6.424	  3.077	  2.154	  2.443	  6.416	  3.360	  2.279	  0.922	  1.051	  0.945	  0.493	  0.493	 -0.399
SW	  8.500	  3.777	  2.786	  2.060	  8.353	  4.060	  1.930	  1.916	  0.936	  1.293	  0.464	  0.508	 -0.382
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.000	 66.750	 67.875	 73.500	 58.875	 59.875	 59.875	 59.875	 34.125	 33.000	 36.375	 35.250
lon	-14.000	  2.500	  9.250	 27.375	-13.125	 -8.875	  9.250	 27.375	 -9.000	 -3.750	 20.000	 35.000
N	  3.347	  2.490	  1.610	 -0.602	  3.139	  2.722	  1.610	 -0.069	  2.768	  2.189	  0.475	  1.610
S	  6.555	  3.034	  2.478	  2.154	  6.428	  4.829	  2.478	  2.131	  0.417	 -0.892	  0.347	  0.336
W	  4.169	  2.406	  2.798	  3.344	  4.884	  4.200	  4.200	  4.200	  1.441	  1.270	  1.381	  1.503
E	  0.417	 -1.174	 -0.861	 -0.856	  2.218	  0.300	  0.300	  0.300	  0.616	  0.566	  0.705	  0.695
NW	  3.827	  2.570	  1.905	   -Inf	  3.836	  4.051	  2.551	  0.212	  1.444	  1.384	  3.497	  2.754
NE	  2.354	  2.211	  2.038	   -Inf	  2.499	  1.515	  0.163	  1.715	  1.259	  1.186	  0.573	  1.590
SE	  6.279	  3.414	  3.584	  2.388	  6.264	  4.770	  2.455	  1.887	  0.444	 -0.879	  0.402	  1.098
SW	  6.810	  4.051	  2.633	  1.988	  6.724	  5.791	  2.495	  2.223	  0.785	 -0.497	  0.214	  0.426
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.00	 60.00	 69.00	 73.50	 58.88	 58.88	 59.88	 59.88	 33.00	 46.25	 36.38	 35.25
lon	 -9.00	 -8.00	  9.25	 27.38	 -9.38	 -8.88	  9.25	 27.38	-10.00	 -3.00	 20.00	 35.00
N	  2.34	  2.30	  2.39	 -0.38	  2.30	  2.30	  2.39	 -0.22	  2.24	  2.52	  0.65	  2.03
S	  6.03	  5.86	  2.81	  2.00	  5.83	  6.01	  2.81	  2.00	 -0.35	  1.97	  0.47	  0.27
W	  3.75	  3.75	  3.72	  2.94	  4.35	  4.35	  3.83	  3.83	  1.34	  1.39	  1.31	  1.36
E	 -2.06	 -2.06	 -1.97	 -1.10	 -2.29	 -2.29	 -2.08	 -2.08	  0.52	  0.70	  0.88	  0.82
NW	  2.88	  2.99	  2.36	  -Inf	  2.84	  2.88	  3.04	  0.97	  1.49	  2.64	  2.84	  2.98
NE	  1.85	  1.92	  2.63	  -Inf	  1.82	  1.92	  1.16	  1.70	  1.05	  0.86	  0.57	  1.97
SE	  5.46	  5.07	  3.23	  2.33	  5.88	  5.74	  3.15	  2.32	 -0.70	  1.87	  0.38	  1.18
SW	  5.43	  5.54	  3.69	  2.09	  5.44	  5.61	  2.36	  2.02	  0.16	  1.98	  0.28	  0.51
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	60.000	65.625	70.125	72.375	59.875	59.875	59.875	58.875	33.000	43.250	43.250	35.375
lon	-9.000	 2.500	11.250	27.375	-9.000	-4.000	 9.250	35.625	-9.000	 8.375	 9.250	35.000
N	 2.212	 2.548	 3.370	 0.440	 2.212	 2.409	 3.150	 0.463	 2.212	 2.988	 3.150	 1.425
S	 3.984	 3.521	 2.803	 1.888	 3.984	 5.003	 2.756	 2.247	-0.069	 0.672	 0.591	 0.486
W	 4.123	 3.620	 3.611	 3.442	 4.131	 4.131	 4.131	 4.279	 1.022	 1.574	 1.574	 0.994
E	-1.436	 0.224	-2.623	-2.142	-1.477	-1.477	-1.477	-1.344	 0.290	-0.080	-0.080	 0.682
NW	 2.363	 3.105	 3.254	 0.290	 2.321	 2.567	 3.140	 1.314	 1.318	 2.466	 2.463	 3.052
NE	 2.228	 2.950	 3.739	 0.931	 2.239	 2.815	 2.151	 0.970	 1.179	 1.195	 1.069	 1.645
SE	 4.271	 3.163	 2.866	 2.454	 4.278	 4.747	 3.097	 2.188	-0.151	 0.533	 0.470	 1.045
SW	 4.172	 4.901	 4.043	 2.182	 4.169	 5.092	 2.686	 1.948	 0.018	 0.511	 0.535	 0.430
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	62.250	67.750	67.875	71.250	59.875	59.875	59.875	59.875	33.000	44.250	44.375	39.750
lon	-9.000	 7.500	 9.250	27.375	-9.000	 0.000	 9.250	27.375	-9.000	 7.000	19.625	31.250
N	 2.073	 4.158	 4.389	 1.170	 2.073	 3.011	 4.389	 1.170	 2.073	 4.065	 2.548	 1.100
S	 2.745	 3.590	 3.231	 2.027	 2.745	 4.540	 3.231	 2.027	-0.278	 0.567	 0.753	 0.475
W	 2.836	 3.456	 3.475	 4.179	 3.208	 3.231	 3.231	 3.231	 0.953	 1.423	 1.361	 1.958
E	 0.174	 0.153	 0.092	-1.585	-0.300	-0.300	-0.300	-0.300	 0.525	-0.437	-0.437	 0.015
NW	 2.269	 3.958	 4.202	 1.036	 2.191	 2.790	 3.393	 3.406	 1.397	 2.150	 3.060	 3.493
NE	 2.606	 4.590	 4.191	 1.597	 3.141	 4.479	 2.628	 1.214	 1.768	 0.713	 0.409	 1.018
SE	 3.663	 3.167	 3.258	 2.465	 2.995	 4.625	 3.151	 2.692	-0.408	 0.611	 0.800	 0.813
SW	 3.327	 4.605	 4.646	 2.199	 3.276	 4.547	 2.865	 1.747	-0.027	 0.753	 0.749	 0.385
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	65.625	67.750	67.875	65.625	59.875	59.875	59.875	59.875	46.250	44.375	44.375	42.000
lon	-9.000	 7.500	 9.250	27.375	-9.000	 3.750	 9.250	27.375	-9.000	 8.375	 9.250	39.375
N	 2.177	 4.297	 4.192	 1.633	 2.177	 4.158	 4.192	 1.633	 2.177	 4.274	 4.192	 1.147
S	 2.571	 3.752	 3.729	 3.034	 2.571	 3.613	 3.729	 2.444	 1.529	 0.486	 0.382	 2.328
W	 3.115	 3.823	 3.875	 3.115	 1.869	 2.469	 2.469	 2.469	 1.206	 1.734	 1.734	 1.013
E	 0.281	-0.092	-0.092	 0.281	 0.162	 0.162	 0.162	 0.162	 0.285	-0.065	-0.065	 0.016
NW	 2.603	 4.801	 4.768	 1.938	 2.333	 3.219	 3.770	 2.784	 0.849	 2.353	 2.335	 4.411
NE	 2.294	 3.615	 3.130	 1.713	 3.475	 2.829	 2.495	 1.615	 2.706	 1.559	 1.526	 1.384
SE	 3.132	 3.275	 3.212	 3.529	 2.680	 4.146	 3.953	 2.709	 0.999	 0.678	 0.527	 2.503
SW	 3.364	 3.427	 3.535	 2.878	 2.875	 3.501	 2.963	 1.933	 1.658	 0.767	 0.744	 1.459
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	67.875	67.875	67.875	68.875	59.875	59.875	59.875	59.875	46.250	43.125	44.250	42.125
lon	-9.000	 7.500	 9.250	27.375	-9.000	 4.000	 9.250	27.375	-9.000	 7.125	 9.250	39.375
N	 2.664	 3.694	 3.359	 2.143	 2.664	 4.088	 3.359	 2.143	 2.664	 3.752	 3.359	 1.749
S	 2.038	 2.953	 3.011	 4.007	 2.038	 2.919	 3.011	 2.328	 1.517	 0.741	 0.660	 2.247
W	 3.844	 3.875	 3.875	 4.113	 1.338	 1.708	 1.708	 1.708	 1.139	 1.904	 1.568	 1.156
E	-0.554	-0.554	-0.554	-1.478	 0.162	 0.162	 0.162	 0.162	 0.636	 0.222	 0.275	 0.078
NW	 3.326	 4.890	 4.544	 1.893	 2.587	 3.612	 4.091	 2.339	 1.232	 2.715	 2.601	 3.776
NE	 2.105	 2.417	 2.172	 2.851	 3.348	 2.094	 2.272	 2.718	 2.083	 2.829	 2.773	 2.079
SE	 2.910	 4.176	 4.133	 3.756	 2.462	 3.271	 3.823	 2.464	 1.280	 0.789	 0.636	 2.321
SW	 2.738	 2.742	 2.898	 3.261	 2.771	 2.923	 2.232	 2.169	 1.395	 0.779	 0.734	 1.580
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 68.88	 69.00	 70.12	 70.12	 59.88	 59.88	 59.88	 59.88	 46.25	 43.25	 43.12	 43.25	 42.12
lon	 -9.00	  8.00	 27.25	 28.12	-20.00	  4.00	  9.25	 27.38	 -9.00	  8.50	  8.38	  9.25	 38.00
N	  2.85	  2.65	  2.78	  2.81	  2.74	  3.44	  2.41	  2.79	  2.85	  2.56	  2.57	  2.41	  2.72
S	  1.89	  2.62	  3.17	  3.34	  2.51	  2.68	  2.63	  2.58	  1.58	  0.91	  0.90	  0.79	  2.28
W	  3.63	  3.97	  4.19	  4.19	  0.97	  0.97	  0.97	  0.97	  1.21	  1.84	  1.86	  1.84	  1.41
E	 -1.48	 -1.58	 -1.84	 -1.84	  0.95	  0.95	  0.95	  0.95	  0.87	  0.27	  0.24	  0.27	  0.22
NW	  3.66	  3.93	  2.35	  2.44	  3.23	  3.81	  4.15	  1.85	  2.36	  2.78	  2.74	  2.86	  3.26
NE	  2.04	  1.72	  3.49	  3.49	  1.92	  1.55	  2.09	  3.71	  1.56	  3.73	  3.73	  3.70	  1.42
SE	  2.91	  3.67	  3.85	  3.86	  2.17	  2.92	  2.94	  2.99	  1.43	  0.70	  0.67	  0.65	  2.74
SW	  2.46	  2.43	  2.82	  2.97	  2.38	  1.75	  1.67	  1.97	  1.55	  0.86	  0.86	  0.75	  1.22
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 61.12	 69.00	 71.25	 71.25	 59.88	 59.88	 59.88	 59.88	 46.25	 46.25	 33.00	 33.00
lon	-20.00	  0.00	 27.25	 30.00	-18.00	 -8.88	 10.00	 27.38	-12.00	 -8.88	 10.00	 37.50
N	  2.80	  3.87	  3.17	  3.74	  2.79	  3.28	  1.70	  3.18	  3.06	  3.28	  1.70	  4.38
S	  2.50	  2.25	  3.49	  3.39	  2.52	  2.25	  2.25	  2.59	  2.35	  2.12	 -0.90	 -0.10
W	  0.94	  4.20	  4.50	  4.50	  0.81	  0.81	  0.81	  0.81	  1.16	  1.16	  1.35	  1.35
E	  1.30	 -1.78	 -1.33	 -1.33	  1.41	  1.41	  1.41	  1.41	  0.92	  0.92	  1.02	  1.02
NW	  3.45	  4.64	  2.78	  3.08	  3.45	  3.27	  4.53	  1.56	  0.52	  3.24	  3.23	  4.54
NE	  2.74	  3.00	  3.55	  4.32	  2.27	  3.08	  2.02	  5.15	  0.91	  1.04	  1.03	  1.81
SE	  2.38	  2.95	  3.81	  3.70	  2.53	  2.28	  2.86	  3.09	  1.98	  1.93	 -0.96	 -0.72
SW	  2.92	  3.03	  2.45	  2.79	  2.69	  2.79	  1.62	  1.85	  2.25	  1.83	 -0.43	  0.54
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 60.00	 69.00	 72.25	 71.25	 59.88	 57.75	 59.88	 59.88	 46.25	 46.25	 46.25	 33.00	 33.00
lon	-22.00	  0.00	 27.25	 33.00	-22.00	 -8.88	 10.00	 27.38	-12.75	-12.62	 -8.88	 11.25	 43.75
N	  3.59	  4.00	  2.33	  3.56	  3.59	  2.96	  1.11	  2.36	  2.65	  2.65	  2.96	  1.16	  4.18
S	  2.49	  3.07	  2.77	  3.30	  2.49	  2.64	  1.93	  2.11	  2.58	  2.58	  2.64	 -0.51	 -0.56
W	  1.04	  5.07	  4.22	  4.36	  1.02	  0.87	  1.02	  1.02	  1.24	  1.24	  1.24	  1.73	  1.73
E	  0.90	 -1.45	 -0.95	 -0.86	  0.81	  0.46	  0.81	  0.81	  1.14	  1.14	  1.14	  1.06	  1.06
NW	  4.03	  5.09	  2.15	  2.95	  4.02	  3.51	  4.76	  0.79	  0.36	  0.35	  3.96	  3.46	  2.87
NE	  3.66	  3.03	  2.35	  3.89	  3.66	  2.57	  1.11	  4.72	  1.21	  1.19	  0.59	  1.11	  1.31
SE	  2.50	  2.91	  3.66	  3.68	  2.48	  2.78	  2.37	  2.46	  2.53	  2.56	  2.49	 -0.43	 -0.74
SW	  2.45	  3.59	  2.56	  3.34	  2.46	  2.83	  1.75	  1.55	  2.44	  2.45	  2.02	 -0.37	 -0.11
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.0000	 67.8750	 72.2500	 71.2500	 59.8750	 58.8750	 59.8750	 59.8750	 46.2500	 46.2500	 33.1250	 33.0000
lon	-24.0000	 -2.5000	 27.2500	 36.0000	-24.0000	 -8.8750	  9.2500	 27.3750	-10.5000	 -8.8750	 12.5000	 43.7500
N	  3.9956	  3.9377	  2.0383	  3.6945	  3.9956	  3.0343	  1.2276	  2.0615	  2.5711	  3.0343	  0.7296	  4.0535
S	  2.4089	  2.9996	  2.6637	  3.3470	  2.4089	  3.3007	  1.8530	  1.9109	  2.8953	  3.3007	  0.7065	 -0.4169
W	  1.6214	  5.0738	  4.5586	  4.7920	  1.5691	  1.2995	  1.5691	  1.5691	  0.9714	  0.9714	  1.7424	  1.7676
E	  1.4129	 -0.8303	 -0.7598	 -0.6125	  1.4307	  1.5236	  1.4307	  1.4307	  2.2107	  2.2107	  0.4978	  0.4833
NW	  4.1277	  5.0783	  1.8711	  3.1631	  4.1172	  4.0138	  4.6293	  0.6014	  4.0962	  4.0146	  4.2010	  2.5361
NE	  3.3715	  3.1212	  2.0048	  3.9539	  3.3399	  2.7021	  1.2474	  4.2880	  1.4027	  1.1722	  0.8260	  1.5260
SE	  3.5118	  3.0521	  3.1506	  3.6008	  3.5024	  3.4351	  1.9907	  2.3712	  3.5024	  3.4824	  0.8433	 -0.6213
SW	  1.8078	  2.7718	  2.2238	  3.6862	  1.8385	  2.4631	  2.2915	  1.3737	  2.4010	  2.3968	  0.5681	 -0.0089
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.00	 60.00	 71.25	 71.25	 57.75	 59.88	 57.75	 59.88	 46.25	 46.25	 39.75	 33.00
lon	-24.00	 -8.88	  9.25	 42.00	-24.38	 -8.88	  9.25	 27.38	 -9.00	 -8.88	  9.25	 45.00
N	  3.98	  2.52	  0.93	  4.30	  3.95	  2.52	  0.93	  1.91	  2.56	  2.52	  0.93	  4.45
S	  3.07	  3.34	  2.71	  3.49	  3.16	  3.34	  1.40	  1.81	  3.31	  3.34	  1.12	 -0.71
W	  1.30	  1.30	  4.04	  4.04	  1.41	  1.29	  1.41	  1.29	  0.97	  0.97	  1.87	  1.46
E	  0.72	  0.72	 -1.15	 -1.15	  1.02	  0.72	  1.02	  0.72	  2.24	  2.24	  0.95	  0.51
NW	  4.31	  3.14	  1.14	  3.83	  3.14	  3.17	  4.08	  0.50	  4.00	  4.00	  3.22	  1.59
NE	  3.21	  2.61	  0.86	  4.59	  3.19	  2.56	  1.71	  4.20	  2.12	  2.12	  4.33	  0.45
SE	  3.40	  4.19	  2.39	  3.30	  2.82	  4.18	  2.21	  2.16	  3.45	  3.45	  0.58	 -0.59
SW	  1.10	  2.83	  2.17	  3.46	  3.67	  2.72	  2.72	  1.45	  2.48	  2.49	  1.53	 -0.45
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 60.000	 61.125	 71.250	 71.250	 56.625	 55.625	 56.750	 56.625	 59.875	 46.250	 46.250	 41.000	 33.000
lon	-18.000	 -8.875	  9.250	 45.000	-19.750	 -8.875	  9.250	  9.250	 27.375	-16.500	 -8.875	  9.250	 45.000
N	  3.833	  2.617	  0.950	  4.656	  3.903	  2.617	  0.950	  0.950	  1.853	  3.648	  2.617	  0.950	  4.656
S	  3.729	  3.428	  2.502	  3.474	  3.729	  3.428	  1.795	  1.795	  1.274	  3.590	  3.428	  0.753	 -0.799
W	  1.575	  1.727	  3.711	  3.711	  1.284	  1.436	  1.331	  1.284	  1.569	  1.424	  1.424	  0.951	  1.243
E	  0.857	  0.024	 -1.261	 -1.261	  1.726	  1.518	  1.732	  1.726	  0.900	  1.943	  1.943	  1.013	  0.055
NW	  4.027	  3.198	  0.991	  4.291	  4.194	  3.529	  3.172	  3.170	  0.490	  1.949	  4.200	  3.379	  1.446
NE	  3.182	  2.416	  1.002	  1.500	  3.088	  1.737	  1.704	  1.737	  3.753	  1.530	  2.527	  3.887	  0.462
SE	  3.510	  3.805	  2.406	 -1.875	  3.228	  3.917	  2.109	  2.107	  1.667	  2.933	  3.162	  0.921	 -0.701
SW	  3.941	  2.486	  2.968	  3.341	  3.577	  3.150	  2.076	  2.085	  1.246	  3.151	  2.201	  1.147	 -0.462
x
1 day
