V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
E	 -0.861	 -0.939	 -0.939	 -1.513	  1.845	  1.108	  1.108	  0.353	  0.911	  0.934	  0.877	  0.911
NW	  4.564	  4.397	  3.664	  0.947	   -Inf	  4.586	  4.277	  2.506	  1.381	  1.484	  4.618	  3.386
NE	  3.998	  4.232	  3.374	  1.386	  2.767	  3.393	  2.772	  1.030	  0.982	  1.537	  1.152	 -0.337
SE	  2.922	  4.248	  3.370	  2.043	  2.722	  2.988	  2.400	  0.853	 -0.302	  1.866	  0.107	 -0.621
SW	  2.744	  3.708	  2.957	  1.181	   -Inf	  2.632	  1.766	  0.911	  0.240	  1.299	  0.557	  0.337
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 68.88	 67.88	 67.88	 71.25	 58.88	 59.88	 59.88	 46.50	 35.38	 36.50	 37.50	 33.00
lon	 -9.00	  0.00	  9.25	 27.38	-27.00	 -8.88	 10.00	 42.00	 -9.00	  2.50	 27.25	 45.00
N	  4.01	  3.17	  2.41	  1.37	  1.95	  4.01	  2.36	  1.07	  4.01	  2.91	  1.60	  1.52
S	  2.64	  3.76	  3.03	  1.76	  2.72	  2.34	  2.76	  1.68	  0.32	  1.18	  0.37	 -0.42
W	  4.82	  4.43	  4.43	  5.76	 -0.11	 -0.39	  1.11	  1.45	  1.08	  1.54	  1.90	  1.62
E	 -1.16	 -0.77	 -0.77	 -1.77	  1.84	  1.11	  1.11	  0.56	  1.01	  0.85	  0.92	  1.30
NW	  4.82	  3.85	  2.46	  0.97	  -Inf	  2.92	  3.64	  1.75	  1.58	  2.47	  4.34	  3.33
NE	  3.27	  2.81	  2.46	  1.76	  2.47	  2.84	  2.47	  0.93	  1.84	  1.39	  1.11	 -0.15
SE	  3.12	  4.30	  2.87	  2.24	  3.51	  2.59	  2.41	  0.66	  0.83	  1.01	  0.32	 -0.76
SW	  2.96	  3.54	  3.30	  1.95	  -Inf	  1.89	  2.39	  0.96	  0.70	  0.94	  0.74	  0.15
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 69.000	 69.000	 69.000	 72.250	 58.875	 59.875	 59.875	 59.875	 37.500	 35.375	 33.000	 33.000
lon	 -9.000	  2.625	  9.250	 27.375	-22.500	 -8.875	 16.000	 27.375	 -9.000	  3.750	  9.250	 45.000
N	  3.555	  2.061	  1.401	  1.054	  2.096	  3.532	  0.811	  1.054	  3.555	  1.946	  1.401	  1.749
S	  2.953	  3.787	  3.822	  2.015	  2.224	  1.830	  2.235	  1.969	  0.533	  0.822	 -0.290	 -0.359
W	  5.138	  5.138	  5.138	  5.470	  0.538	  0.600	  1.638	  1.638	  2.219	  1.122	  1.505	  1.505
E	 -0.549	 -0.549	 -0.549	 -1.368	  2.151	  1.454	  1.454	  1.454	  0.832	  0.824	  0.870	  0.870
NW	  4.535	  2.584	  1.749	  0.290	  2.354	  2.292	  2.027	  0.813	  1.945	  2.999	  2.680	  3.087
NE	  2.395	  1.715	  1.349	  1.860	  2.796	  1.871	  1.782	  0.596	  2.370	  1.228	  1.515	  0.098
SE	  2.752	  4.352	  4.218	  2.472	  3.005	  2.464	  2.018	  2.458	  1.513	  0.798	  0.337	 -0.408
SW	  3.084	  3.409	  3.211	  2.386	  2.425	  1.987	  2.100	  1.316	  1.397	  0.789	 -0.772	 -0.098
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 70.125	 70.125	 70.125	 72.375	 58.875	 59.875	 59.875	 59.875	 33.000	 33.000	 36.500	 33.000
lon	 -9.000	  5.625	  9.250	 27.375	-15.000	 -8.875	 20.000	 27.375	-10.000	  6.250	 27.250	 45.000
N	  2.710	  1.286	  1.089	  0.208	  2.154	  2.698	 -0.510	  0.208	  2.571	  1.297	  1.876	  1.818
S	  2.710	  3.718	  3.625	  2.212	  2.131	  2.200	  2.061	  2.212	 -0.903	 -0.058	  0.429	 -0.510
W	  4.769	  4.769	  4.769	  4.513	  1.008	  1.038	  1.038	  1.038	  0.704	  0.967	  1.369	  1.367
E	 -0.920	 -0.920	 -0.920	 -0.918	  1.367	  0.877	  0.877	  0.877	  1.229	  1.229	  0.605	  1.229
NW	  3.475	  1.570	  1.158	 -0.345	  1.956	  1.678	  1.080	 -0.245	  1.336	  1.766	  3.410	  2.202
NE	  1.871	  1.368	  1.246	  0.880	  1.948	  1.158	  1.660	  1.342	  2.187	  1.358	  1.204	  0.080
SE	  2.905	  4.123	  4.201	  2.552	  3.251	  2.960	  1.883	  2.464	 -0.888	 -0.302	  0.135	 -0.648
